1																		
HoleID	Northing	Easting	Collar Level	Label One	Label Two	Label Three	Diameter	Hole Length	Bench Height	Bearing	Floor Level	Toe Level	Angle	Subdrill	Shape	Red	Green	Blue
1	10000.0	10000.0	100.0	A0	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
2	10000.0	10007.5	100.0	A1	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
3	10000.0	10015.0	100.0	A2	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
4	10000.0	10022.5	100.0	A3	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
5	10000.0	10030.0	100.0	A4	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
6	10000.0	10037.5	100.0	A5	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
7	10000.0	10045.0	100.0	A6	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
8	10000.0	10052.5	100.0	A7	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
9	10000.0	10060.0	100.0	A8	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
10	10000.0	10067.5	100.0	A9	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
11	10000.0	10075.0	100.0	A10	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
12	10000.0	10082.5	100.0	A11	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
13	10000.0	10090.0	100.0	A12	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
14	10000.0	10097.5	100.0	A13	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
15	10000.0	10105.0	100.0	A14	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
16	10000.0	10112.5	100.0	A15	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
17	10006.5	10003.75	100.0	B0	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
18	10006.5	10011.25	100.0	B1	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
19	10006.5	10018.75	100.0	B2	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
20	10006.5	10026.25	100.0	B3	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
21	10006.5	10033.75	100.0	B4	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
22	10006.5	10041.25	100.0	B5	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
23	10006.5	10048.75	100.0	B6	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
24	10006.5	10056.25	100.0	B7	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
25	10006.5	10063.75	100.0	B8	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
26	10006.5	10071.25	100.0	B9	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
27	10006.5	10078.75	100.0	B10	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
28	10006.5	10086.25	100.0	B11	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
29	10006.5	10093.75	100.0	B12	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
30	10006.5	10101.25	100.0	B13	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
31	10006.5	10108.75	100.0	B14	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
32	10006.5	10116.25	100.0	B15	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
33	10013.0	10000.0	100.0	C0	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
34	10013.0	10007.5	100.0	C1	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
35	10013.0	10015.0	100.0	C2	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
36	10013.0	10022.5	100.0	C3	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
