1,,,
HoleID,Northing,Easting,Collar RL
1,983.843,1049.142,99.408
2,986.091,1049.055,99.151
3,984.941,1047.017,99.256
4,986.207,1046.005,99.078
5,986.634,1043.555,99.273
6,987.952,1040.882,99.577
7,989.12,1049.159,99.093
8,989.214,1045.95,99.109
9,989.303,1042.587,99.388
10,989.5,1039.186,99.069
11,989.501,1035.973,98.787
12,989.865,1032.761,98.786
13,989.775,1029.527,98.585
14,989.74,1026.41,98.496
15,989.862,1023.182,98.526
16,989.729,1019.756,98.453
17,989.827,1016.42,98.518
18,989.845,1013.211,98.726
19,990.131,1009.851,98.815
20,990.394,1006.584,99.795
21,989.847,1003.35,100.117
22,990.374,999.733,99.566
23,989.542,996.231,98.938
24,990.255,993.108,98.337
25,990.383,989.872,98.147
26,990.535,986.661,97.922
27,990.631,983.454,97.575
28,990.778,980.115,97.489
29,990.816,976.793,97.454
30,990.921,974.907,97.478
31,993.784,975.052,97.335
32,993.68,978.428,97.45
33,993.507,981.795,97.5
34,993.395,985.004,97.633
35,993.324,988.252,97.771
36,993.169,991.528,97.877
37,993.205,994.739,98.333
38,993.18,998.035,99.303
39,993.073,1001.365,99.848
40,993.094,1004.474,99.913
41,992.906,1007.823,98.564
42,992.931,1011.147,98.576
43,992.806,1014.474,98.749
44,992.695,1017.811,98.623
45,992.598,1021.15,98.478
46,992.671,1024.319,98.464
47,992.571,1027.765,98.441
48,992.489,1031.001,98.606
49,992.47,1034.19,98.618
50,992.312,1037.588,98.911
51,992.335,1041.038,99.014
52,992.212,1044.348,98.93
53,992.203,1047.613,98.992
54,992.096,1049.349,98.983
55,994.774,1049.553,99.028
56,994.979,1046.073,98.833
57,995.139,1042.801,98.886
58,995.181,1039.364,99.113
59,995.214,1035.969,98.923
